trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-187.1978787771044,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 1.0}",25,0,-124.62916963210114,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 1.0}",20,0,-133.84902778354626,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.2, 'e': 1.0}",20,0,-166.07556834440257,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 1.0}",25,0,-104.66887409866257,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.2, 'e': 1.0}",25,0,-133.4739706658198,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.2, 'e': 1.0}",20,0,-90.10926690963421,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 1.0}",20,0,-69.5558966432389,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 1.0}",25,0,-80.31870403464643,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 1.0}",30,0,-90.78376811421,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.2, 'e': 1.0}",25,0,-69.55071788559749,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 1.0}",20,0,-109.97599136779873,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 1.0}",25,0,-108.36793378020933,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.2, 'e': 1.0}",25,0,-145.43387631476085,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.2, 'e': 1.0}",25,0,-118.51298927212576,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 1.0}",25,0,-127.84466034056172,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 1.0}",35,9,-140.1315208809597,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 2}",1
