trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.11929046746906,"{0: 11, 1: 0, 2: 9, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,8,-75.27749268177723,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,12,-84.08348861305731,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.10797262190577,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.79175435262871,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.33342738722067,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.91771201787114,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.34448319473232,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.9810817860075,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.72231916284287,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.34564599783135,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.64232644521766,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.06200508943455,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.13842434921574,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,16,-25.530220112343116,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.92647250527971,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.0330138119472,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.46420378672552,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.21972846369331,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.13570077687288,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.4509575730348,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.66609530987627,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.94370696188665,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,10,-24.29689343505799,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.16400442718012,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.396301731255825,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.90984230621382,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.8854473854356,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.41240232441517,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.96358451740258,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
